Name,Cost_per_Unit,Durability,Strength,Resistance,Performance,Pressure,Construction_Cost_Over_Time_Years,Area_Measurements,Risk_Score,Material_Score
Concrete,498.39,6.23,195.94,7.72,11.45,569.49,6006.5,607.17,1.85,5.26
Titanium,439.22,17.23,184.08,4.49,88.23,865.08,2225.44,513.72,9.71,4.73
Titanium,236.63,33.6,239.79,4.58,28,861.27,2949.06,276.89,6.72,7.58
Wood,91.57,44.92,57.17,9.04,7.48,467.2,12589.68,597.03,1.98,2.2
Copper,72.23,45.02,62.73,5.26,87.71,134.06,2110.09,985.12,1.31,9.25
Ceramic,385.05,5.61,196.78,8.6,6.79,877.8,17863.84,252.42,2.72,5.31
Gypsum,355.21,41.86,274.37,5.55,89.66,534.93,12809.5,455.31,2.86,2.3
Steel,265.61,27.83,26.22,9.41,43.76,389.07,8386.8,400.23,5.29,9.81
Copper,448.53,34.78,60.94,9.79,54.92,827.57,6463.24,669.4,3.75,8.58
Asphalt,302.62,5.06,172.75,6.76,70.72,836.81,9847.91,293.75,1.89,9.82
Ceramic,432.29,8.09,289.93,8.6,1.37,801.65,8543.44,825.85,3.01,3.04
PVC,20.71,35.8,139.25,9.72,66.3,260.71,8360.5,962.45,4.75,8.51
Brick,136.48,22.46,298.83,8.25,62.79,251.49,14011.81,387.52,5.72,8.07
Steel,36.02,14.21,264.94,7.7,7.21,622.59,9300.04,939.78,8.59,1.3
Limestone,109.46,29.15,178.96,7.34,48.35,827,18114.22,297.56,2.89,5.12
Brick,310.43,36.45,249.27,3.85,12.9,628.87,11834.05,655.98,5.83,4.5
Clay,334.15,24.35,212.83,1.63,55.46,563.94,13175.46,793.39,3.68,6.95
Fiber Cement,20.49,13.99,283.08,6.43,57.24,746.32,2890.13,445.27,3.82,3.77
Concrete,120.65,28.51,202.29,9.27,4.27,444.55,9706.89,499.26,8.11,2.38
Glass,324.44,14.9,280.79,6.62,82.42,814.37,2575.57,466.73,7.56,8.9
Ceramic,413.01,5.47,213.92,7.56,31.61,524.73,11189.34,63.79,1.56,1.59
Marble,224.53,6.09,299.49,3.99,73.58,417.05,5148.44,545.33,4.14,9.3
Titanium,368.71,33.55,231.39,6.89,34.96,355.49,14770.06,806.92,5.83,8.12
Asphalt,85.47,10.51,154.16,1.93,60.28,866.07,13563.6,194.91,2.11,8.64
Copper,275.44,25.63,110.16,6.05,67.78,895.7,10182.53,220.68,1.63,8.6
Bamboo,268.97,5.02,178.11,4.1,99.21,699.19,16337.62,880.02,7.57,4.85
Gypsum,388.36,46.85,278.37,6.18,47.98,742.27,7025.56,366.33,2.71,2.38
Titanium,108.32,19.85,187,2.8,67.5,172.03,17543.27,712.67,3.7,1.88
Asphalt,227.02,35.78,77.02,5.55,87.1,233.78,15060.55,102.05,2.97,4.02
Steel,442.56,24.24,164.22,3.54,17.83,488.76,1309.15,854.18,1.08,4.8
Rubber,274.79,24.48,150.07,8.92,66.38,487.09,16548.44,315.99,2.68,4.03
Limestone,206.91,33.61,249.88,4.48,59.72,533.31,13345.93,980.9,3.94,3.3
Fiber Cement,224.38,33.77,103.84,9.6,16.34,259.22,1312.83,801.09,9.72,1.79
Concrete,402.42,49.9,229.81,7.26,89.46,682.4,14162.29,810.44,4.63,4.31
Gypsum,469.56,17.57,218.34,3.78,79.43,596.72,13775.68,800.33,4.3,7.16
Asphalt,183.75,42.08,221.26,8.45,40.82,758.41,18118.1,194.1,7.59,8.37
Aluminum,142.13,17.44,53.92,3.13,84.71,992.64,13082.42,419.46,3.29,7.06
Rubber,34.26,23.4,270.64,8.27,30.54,734.63,9941.09,703.79,6.58,5.38
Glass,169.87,8.31,139.96,3.41,41.97,835.87,16790.93,374,8.44,5.31
Bamboo,91.15,16.57,63.51,4.02,6.6,346.06,11349.5,813.61,8.58,3.48
Wood,434.01,17.4,95.35,4.91,83.42,358.34,5481.88,114.03,2.83,4.13
Aluminum,78.07,39.69,263.87,6.78,86.33,473.23,7323.37,659.78,5.08,9.59
Asphalt,405.42,20.91,48.83,3.82,32.88,880.85,17255.84,508.64,9.54,5.6
PVC,491.57,49.2,85.41,1.79,69.12,775.43,6149.44,201.69,7.28,8.16
Wood,490.69,39.68,206.58,8.9,17.35,311.09,16478.52,590.32,9.44,2.04
Gypsum,452.73,34.21,268.97,6.7,95.36,584.06,15034.21,313.58,1.59,2.14
Asphalt,419.54,20.82,38.28,7.67,79.67,858.75,18607.47,984.12,3.67,4.01
Titanium,347.78,29.59,57.78,8.8,34.23,594.53,9131.03,589.87,3.18,4.94
Granite,128.48,7.1,197.98,5.49,58.93,356.81,8387.57,635.48,2.37,7.59
Bamboo,20.04,17.92,54.77,9.53,24.94,641.81,17510.88,180.85,3.1,1.35
Gypsum,73.76,48.91,80.09,3.68,37.02,231.83,9784.68,303.58,7.39,7.67
Fiber Cement,345.84,19.45,48.63,9.7,21.41,753.06,12146.06,768.51,5.55,4.89
Gypsum,126.45,48.33,229.72,6,59.61,785.06,17625.41,813.44,1.8,1.25
Ceramic,369.04,29.86,298.52,1.24,92.77,132.37,6736.01,317.23,9.26,5.12
PVC,32.35,13.9,239.96,3.32,89.45,365.85,11729.15,296.29,2.48,7
Rubber,311.04,14.93,60.29,5.43,11.25,964.38,5197.46,453.9,6.8,1.9
Fiber Cement,391.93,25.49,123.13,4.55,44.35,999.76,19662.69,908.27,4.22,7.28
Aluminum,275,16.78,48.82,3.87,41.19,700.52,16758.22,539.53,4.82,7.63
Concrete,245.72,22,124.61,9.67,15.85,704.77,4417.43,553.18,9.47,1.59
Rubber,257.88,35.93,204.26,3.92,70.9,552.37,5400.55,262.83,1.7,7.42
Ceramic,55.01,47.93,257.18,8.41,84.52,823.13,12966.29,652.75,3.22,1.03
Limestone,371.11,39.26,269.04,9.45,7.75,379.05,8669.55,657.09,6.92,4.55
Marble,396.13,13.11,199.57,5.25,89.79,875.21,7074.22,529.53,9.16,1.54
Titanium,395.99,26.88,50.98,9.72,74.76,551.45,10585.97,650.91,3.6,7.16
Granite,189.77,38.47,102.91,8.91,83.4,759.56,3113.84,198.4,6.13,8.85
Fiberglass,52.04,12.44,68.96,9.29,20.86,537.11,10654.2,107.47,5.9,9.68
Brick,230.21,5.99,289.04,3.99,63.51,725.4,17139.83,936.78,5.34,3.62
Aluminum,396.42,46.66,232.71,6.97,3.68,722.45,11202.03,776.7,5.87,5.62
Bamboo,307.02,19.33,122.76,2.88,87.71,436.47,1443.79,800.42,7.02,3.79
Granite,473.02,35.12,39.28,2.7,27.26,576.09,2316.26,433.66,8.17,2.36
Copper,263.22,32.83,198.12,5.88,39.49,448.8,2784.33,128.15,8.59,3.82
Aluminum,206.08,6.6,220.25,2.98,25.88,302.06,8990.13,380.36,1.02,5.37
Rubber,340.64,21.57,194.92,4.25,78.66,848.63,3976.85,746.92,3.39,3.08
Concrete,473.92,13.85,95.62,7.36,37.67,548.99,11128.77,106.45,8.01,4.67
Fiber Cement,300.19,28.15,31.72,6.14,7.38,505.24,15320.37,111.05,7.61,1.87
Concrete,158.62,44.7,16.77,6.61,69.49,722.65,6292.17,421.13,6.46,4.57
Concrete,341.32,49.79,192.44,1.82,85.44,887.73,5361.68,494.37,2.45,7.41
Copper,75.75,34.6,196.91,2.56,70.61,553.68,14452.61,693.59,1.72,4.01
Gypsum,17.27,20.4,68.09,8.24,46.89,994.24,5462.84,96.51,7.63,7.21
Rubber,75.42,5.66,114.92,4.04,14.81,280.49,13883.66,206.57,6.52,7.05
Concrete,499.13,46.19,159.35,8.32,51.38,389.32,16271.85,794.58,1.83,4.27
Asphalt,419.48,37.47,242.55,1.87,80.78,182.79,9421.23,451.92,4.78,9.56
Asphalt,403.81,48.19,255.71,1.05,46.05,351.27,12449.22,683.87,9.12,4.87
Clay,235.09,5.71,176.84,8.22,18.67,286.23,17700.99,923.73,4.89,6.46
Ceramic,237.49,18.99,35.01,9.58,19.19,483.47,5908.46,742.32,1.21,2.73
Granite,97.2,8.62,294.75,9.27,82.59,439.01,8705.97,514.51,7.72,1.57
Gypsum,448.08,14.35,167.78,8.02,74.02,514.31,11011.35,533.84,1.64,1.36
Copper,227.4,16.06,100.84,3.32,55.19,925.98,15274.73,74.46,2.26,8.33
Wood,432.31,49.96,81.01,7.54,73.73,923.61,1434.59,805.34,3.08,7.94
Concrete,126.39,7.52,239.51,3.21,95,689.57,10861.64,958.91,2.46,8.28
Titanium,102.64,6.33,58.57,6.6,79.69,780.95,15281.8,808.14,1.59,9.67
Granite,311.11,49.07,274.52,8.03,74.26,676.13,13415.7,332.4,1.25,3.29
Concrete,492.32,39.17,295.47,7.26,8.04,228.49,17627.53,303.89,6.75,7.03
Wood,328.7,43.07,245.64,7.16,36.77,367.42,4236.98,260.1,1.28,1.38
Glass,194.45,25.75,296.82,6.99,69.28,353.36,1187.65,250.16,7.65,7.2
PVC,310.98,29.14,243.34,5.74,58.51,509.23,16694.52,747.86,3.63,9.87
Titanium,457.88,23.32,234.58,8.7,60.31,170.19,9002.57,218.79,3.72,9.64
Clay,82.61,14.46,169.29,5.49,38.53,532.46,7970.81,56.93,6.02,7.41
Asphalt,275.6,29.82,246.14,8.15,85.75,900.27,3329.26,424.36,5.45,5.3
Clay,482.56,47.03,93.58,8.68,17.4,958.72,8964.76,740.71,2.62,7.69
Marble,196.48,11.94,203.91,5.09,49.13,589.06,15201.22,891.51,2.95,1.53
Titanium,133.15,24.48,88,7.37,34.98,876.28,10634.09,968.06,6.79,3.2
Fiber Cement,481.19,21.48,112.62,7.8,93.59,821.81,2830.75,384.93,1.67,7.7
Concrete,366.63,35.63,83.33,4.38,15.73,764.03,11062.76,567.55,4.92,3.99
Ceramic,437.85,12.6,21.74,8.56,61.55,187.05,12269.13,905.24,3.09,3.97
Bamboo,137.66,15.58,26.53,1.43,81.4,174.48,9603.64,702.94,8.74,7.98
Rubber,368.05,44.73,72.06,9.33,42.21,343.82,12379.36,992.53,7.39,9.19
Clay,120.91,23.25,180.19,4.53,20.49,627.27,17398.42,315.88,1.59,6.04
Rubber,147.81,20.87,245.5,6.69,34.54,986.88,11562.3,928.99,1.98,4.71
Glass,228.44,18.71,112.78,9.85,12.38,679.06,4544.85,51.78,2.81,2.49
Fiberglass,169.67,24.33,260.75,1.73,75.65,951.53,9860.07,735.81,9.43,2.34
Brick,273.09,34.54,241.03,7.76,34.03,972.3,1307.61,976.31,4.14,4.98
Concrete,157.08,24.87,296.1,2.31,66.79,215.95,6715.85,146.57,5.21,6.11
Fiberglass,265.85,22.15,281.39,1.12,79.54,988.11,7440.94,482.36,1.99,9.32
Steel,30.5,47.89,69.09,4.16,78.22,920.42,15395.14,867.65,3.65,4.72
Wood,453.63,48.55,82.53,9.87,71.19,369.71,15988.59,508.36,5.49,8.06
PVC,318.99,47.01,232.32,2.21,20.47,836.28,11457,514.5,2.03,4.28
PVC,244.84,21.77,74.93,8.33,87.44,419.12,2425.24,722.79,1.77,5.25
Asphalt,409.62,21.18,27.07,8.3,92.21,563.86,16141.07,947.85,7.26,3.11
Rubber,297.28,6.65,116.72,3.9,36.16,619.9,16829.69,903.32,1.41,7.25
Titanium,276.16,20.14,113.21,9.11,59.33,466.57,8336.82,386.46,6.15,3.78
